dtb_sku,dtb_name,current_dtb_price,cost_of_goods,match_status,match_reasoning,lowest_confirmed_competitor_price,lowest_confirmed_competitor_source_url,proposed_new_price,resulting_margin_pct,price_change_amount
CT24TT,"TapeTech Compound Tube - 24""",189.0,129.64,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,189.0,https://www.alstapingtools.com/tapetech-24-drywall-compound-tube-ct24tt/,189.0,31.41,0.0
48TT,"TapeTech Corner Finisher - 3"" EasyRoll® Adjustable",429.0,278.50,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,429.0,https://www.alstapingtools.com/tapetech-3-easyroll-angle-head-drywall-finishing-tool-48tt/,429.0,35.08,0.0
40XTT,"TapeTech Corner Finisher - 2""",389.0,262.50,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,389.0,https://www.alstapingtools.com/tapetech-2-angle-head-drywall-corner-finisher-40xtt/,389.0,32.52,0.0
CT36TT,"TapeTech Compound Tube - 36""",199.0,137.96,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,199.0,https://www.alstapingtools.com/tapetech-36-drywall-compound-tube-ct36tt/,199.0,30.67,0.0
CT42TT,"TapeTech Compound Tube - 42""",211.09,147.76,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,209.0,https://www.alstapingtools.com/tapetech-42-drywall-compound-tube-ct42tt/,209.0,29.3,-2.09
8034TT,"TapeTech Flat Box Handle - 34""",229.0,146.00,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,229.0,https://www.alstapingtools.com/tapetech-34-drywall-flat-finishing-box-handle-8034tt/,229.0,36.24,0.0
8042TT,"TapeTech Flat Box Handle - 42""",234.0,162.14,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,234.0,https://www.alstapingtools.com/tapetech-42-drywall-flat-finisher-box-handle-8042tt/,234.0,30.71,0.0
8134TT,"TapeTech EasyFinish™ Box Handle - 34""",259.76,181.83,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,259.0,https://www.alstapingtools.com/tapetech-34-easyfinish-flat-box-handle-8134tt/,259.0,29.8,-0.76
8142TT,"TapeTech EasyFinish™ Box Handle - 42""",269.0,187.11,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,269.0,https://www.alstapingtools.com/tapetech-42-easyfinish-flat-box-handle-8142tt/,269.0,30.44,0.0
EZ07TT,"TapeTech EasyClean® Finishing Box - 7""",379.0,264.31,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,379.0,https://www.alstapingtools.com/tapetech-7-easyclean-drywall-flat-box-ez07tt/,379.0,30.26,0.0
8154TT,"TapeTech EasyFinish™ Box Handle - 54""",279.0,191.29,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,279.0,https://www.alstapingtools.com/tapetech-54-easyfinish-flat-box-handle-8154tt/,279.0,31.44,0.0
8072TT,"TapeTech Flat Box Handle - 72""",249.0,167.00,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,249.0,https://www.alstapingtools.com/tapetech-72-drywall-flat-finisher-box-handle-8072tt/,249.0,32.93,0.0
8172TT,"TapeTech EasyFinish™ Box Handle - 72""",291.28,203.89,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,289.0,https://www.alstapingtools.com/tapetech-72-easyfinish-flat-box-handle-8172tt/,289.0,29.45,-2.28
CH75TT,TapeTech Cove Applicator Head - 75 mm,99.0,64.35,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,99.0,https://www.all-wall.com/TapeTech-ApplicatorHead-CH75TT,99.0,35.0,0.0
CH90TT,TapeTech Cove Applicator Head - 90 mm,99.0,64.35,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,99.0,https://www.all-wall.com/TapeTech-ApplicatorHead-CH90TT,99.0,35.0,0.0
TAPER,Columbia Automatic Taper - Standard 53 in.,1683.0,1166.49,REJECTED_MISMATCH,"Competitor is a taper cutter block assembly (replacement part), not the complete taper tool",,,,,
07TT,TapeTech EasyClean® Automatic Taper - Standard,1672.12,1170.48,REJECTED_MISMATCH,"Competitor is an automatic taper extension accessory, not the complete 07TT taper",1599.0,https://www.alstapingtools.com/tapetech-easy-clean-automatic-taper/,1599.0,26.8,-73.12
TAPER,Columbia Automatic Taper - Standard 53 in.,1683.0,1166.49,REJECTED_MISMATCH,"Competitor is a bundled ""10 and 12 Full Set w/ Predator Taper Upgrade"", not the standalone Standard 53in Taper",,,,,
SAT,Columbia Semi Automatic Taper,243.34,166.26,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,243.32,https://walltools.com/columbia-semi-automatic-taper-COLM-sat/,243.32,31.67,-0.02
PT-TP,Platinum Semi Automatic Drywall Taper,145.0,94.25,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,85.0,https://www.alstapingtools.com/platinum-drywall-tools-semi-automatic-super-taper/,85.0,-10.88,-60.0
FHTT,TapeTech Support Handle - Fiberglass,59.0,39.19,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,59.0,https://www.alstapingtools.com/tapetech-interchangeable-fiberglass-handle-fhtt/,59.0,33.58,0.0
42TT,"TapeTech Corner Finisher - 2.5""",399.0,271.00,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,389.0,https://walltools.com/tapetech-angle-head-corner-finisher-tape-40tt-42tt-45tt/,389.0,30.33,-10.0
TAPER,Columbia Automatic Taper - Standard 53 in.,1683.0,1166.49,AMBIGUOUS_NEEDS_HUMAN_REVIEW,"Competitor title is a generic ""Columbia Automatic Taper"" with no size/model designator (unlike this vendor's other explicitly-labeled Sawed Off/Predator/Tall Boy listings) - cannot confirm it is the Standard 53in model without checking the listing directly",,,,,
07TT,TapeTech EasyClean® Automatic Taper - Standard,1672.12,1170.48,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,1599.0,https://www.alstapingtools.com/tapetech-easy-clean-automatic-taper/,1599.0,26.8,-73.12
XHTT,TapeTech Support Handle - Extension,179.0,122.22,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,179.0,https://www.alstapingtools.com/tapetech-extendable-interchangeable-handle-xhtt/,179.0,31.72,0.0
PAHC07,"TapeTech Power Assist® MaxxBox® Finishing Box - 7""",491.26,343.88,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,459.0,https://www.alstapingtools.com/tapetech-7-powerassist-maxxbox-w-easyroll-wheels-pahc07/,459.0,25.08,-32.26
EHC10,"TapeTech MaxxBox® High Capacity Finishing Box - 10""",419.0,272.35,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,419.0,https://www.alstapingtools.com/tapetech-10-maxxbox-w-easy-roll-wheels-ehc10/,419.0,35.0,0.0
ICA4-1,"Columbia Billet Mud Applicator - Inside Corner - 4 Wheels - 1""",85.44,50.51,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,85.44,https://www.alstapingtools.com/columbia-inside-corner-applicator-4-wheels/,85.44,40.88,0.0
ICA2-1,"Columbia Billet Mud Applicator - Inside Corner - 2 Wheels - 1""",68.13,39.41,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,68.13,https://www.alstapingtools.com/columbia-inside-corner-applicator-2-wheels/,68.13,42.15,0.0
CBNCR,Columbia Outside Corner Roller - Bullnose,86.52,55.12,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,86.52,https://www.alstapingtools.com/columbia-outside-bullnose-corner-roller/,86.52,36.29,0.0
PC1H,Columbia Predator One Handle - 4' Fixed,95.79,57.33,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,95.79,https://www.alstapingtools.com/columbia-predator-one-carbon-fiber-handle/,95.79,40.15,0.0
FMH,Columbia UHMW Mud Applicator - L-Trim,98.0,60.09,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,91.93,https://www.alstapingtools.com/columbia-l-trim-mud-applicator-head-fmh/,91.93,34.64,-6.07
PC1HEXT,Columbia Predator One Handle - Extendable 3'-5',164.85,115.39,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,160.27,https://www.alstapingtools.com/columbia-predator-one-extendable-carbon-fiber-handle-3-5/,160.27,28.0,-4.58
PT-AICA,Platinum 4 Wheel Inside Angle / Corner Applicator,89.0,57.85,CONFIRMED_MATCH,"Competitor title/description matches DTB product name, brand, size/model, and completeness (whole tool vs whole tool, or matching part number/size for components)",55.0,https://www.alstapingtools.com/platinum-4-wheel-inside-angle-corner-applicator/,55.0,-5.18,-34.0
PT-CRE,Platinum Corner Roller - ECO Inside,59.0,38.35,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,35.0,https://www.alstapingtools.com/platinum-drywall-tools-eco-inside-corner-roller/,35.0,-9.57,-24.0
16TT90,TapeTech Applicator Head - Inside Corner,85.43,59.80,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,85.0,https://www.alstapingtools.com/tapetech-90-inside-corner-mud-applicator/,85.0,29.65,-0.43
8000TT-PA,TapeTech Wizard® Compact Finishing Box Handle - Power Assist,109.0,55.47,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,109.0,https://www.alstapingtools.com/tapetech-wizard-compact-handle-for-power-assist-boxes/,109.0,49.11,0.0
3BH,Columbia 180° Grip Flat Box Handle - 3',189.26,127.21,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,189.26,https://www.alstapingtools.com/columbia-36-180-grip-featherweight-flat-box-handle/,189.26,32.79,0.0
42BH,"Columbia 180° Grip Flat Box Handle - 42""",205.49,128.92,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,205.49,https://www.alstapingtools.com/columbia-42-180-grip-featherweight-flat-box-handle/,205.49,37.26,0.0
4BH,Columbia 180° Grip Flat Box Handle - 4',210.89,130.59,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,210.89,https://www.alstapingtools.com/columbia-48-180-grip-featherweight-flat-box-handle/,210.89,38.08,0.0
5BH,Columbia 180° Grip Flat Box Handle - 5',221.71,132.32,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,221.71,https://www.alstapingtools.com/columbia-60-180-grip-featherweight-flat-box-handle/,221.71,40.32,0.0
6BH,Columbia 180° Grip Flat Box Handle - 6',232.52,134.04,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,232.52,https://www.alstapingtools.com/columbia-72-180-grip-featherweight-flat-box-handle/,232.52,42.35,0.0
S1X-M-2131,"SurPro S1X Magnesium Drywall Stilts - 21""-31""",430.0,279.50,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,400.0,https://www.alstapingtools.com/surpro-s1x-single-sided-magnesium-20-30-drywall-stilts/,400.0,30.12,-30.0
S1X-M-2640,"SurPro S1X Magnesium Drywall Stilts - 26""-40""",441.0,286.65,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,400.0,https://www.alstapingtools.com/surpro-s1x-single-sided-magnesium-26-40-drywall-stilts/,400.0,28.34,-41.0
10FBB,"Columbia Fat Boy Flat Box - 10""",454.23,294.51,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,448.99,https://www.all-wall.com/Columbia-FatBox-InsideTrack-10,448.99,34.41,-5.24
12FBBA,"Columbia Automatic Fat Boy Box - 12""",502.9,324.25,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,502.9,https://www.alstapingtools.com/columbia-12-fat-boy-automatic-assist-drywall-flat-box/,502.9,35.52,0.0
S2X-M-2131,"SurPro S2X Magnesium Drywall Stilts - 21""-31""",479.0,311.35,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,450.0,https://www.alstapingtools.com/surpro-s2x-magnesium-stilts-21-31/,450.0,30.81,-29.0
S2X-M-2640,"SurPro S2X Magnesium Drywall Stilts - 26""-40""",490.0,318.50,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,460.0,https://www.alstapingtools.com/surpro-s2x-magnesium-stilts-26-40/,460.0,30.76,-30.0
CLT32,"Columbia Cam Lock Tube - 32""",279.72,195.80,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,268.21,https://www.alstapingtools.com/columbia-32-cam-lock-compound-mud-tube/,268.21,27.0,-11.51
CLT42,"Columbia Cam Lock Tube - 42""",297.33,208.13,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,280.11,https://www.alstapingtools.com/columbia-42-cam-lock-compound-mud-tube/,280.11,25.7,-17.22
8FBBA,"Columbia Automatic Fat Boy Box - 8""",481.27,313.52,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,481.27,https://www.alstapingtools.com/columbia-8-fat-boy-automatic-assist-drywall-flat-box/,481.27,34.86,0.0
8FBB,"Columbia Fat Boy Flat Box - 8""",443.42,285.99,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,443.42,https://www.alstapingtools.com/columbia-8-fat-boy-drywall-flat-finishing-box/,443.42,35.5,0.0
CLT55,"Columbia Cam Lock Tube - 55""",307.89,215.52,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,278.1,https://www.alstapingtools.com/columbia-55-cam-lock-compound-mud-tube/,278.1,22.5,-29.79
12FBB,"Columbia Fat Boy Flat Box - 12""",465.05,303.46,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,459.99,https://www.all-wall.com/Columbia-FatBox-InsideTrack-12,459.99,34.03,-5.06
CC,Columbia Corner Cobra,401.0,245.62,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,367.7,https://walltools.com/columbia-taping-tools-corner-cobra-COLM-cc/,367.7,33.2,-33.3
HMP,Columbia Hot Mud Pump - Standard,410.97,277.45,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,410.97,https://www.alstapingtools.com/columbia-hot-mud-pump/,410.97,32.49,0.0
ICATW,Columbia Billet Mud Applicator - Two-Way Internal Corner - 4 Wheels,116.8,66.51,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,116.8,https://www.alstapingtools.com/columbia-inside-90-applicator-with-wheels/,116.8,43.06,0.0
CEXT90,Columbia Billet Mud Applicator - External 90,127.62,78.82,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,127.62,https://www.alstapingtools.com/columbia-outside-90-corner-applicator-head/,127.62,38.24,0.0
PHMP,Columbia Predator Mud Pump,496.42,327.49,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,496.42,https://www.alstapingtools.com/columbia-predator-mud-pump/,496.42,34.03,0.0
TBGN,Columbia Gooseneck - Tall Boy,146.0,99.00,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,146.0,https://www.alstapingtools.com/columbia-tall-boy-gooseneck/,146.0,32.19,0.0
2.5DF,"Columbia Direct Flusher - 2.5""",127.62,76.37,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,127.62,https://www.alstapingtools.com/columbia-taping-tools-2-5-direct-drywall-corner-flusher/,127.62,40.16,0.0
TBMP,Columbia Hot Mud Pump - Tall Boy,524.6,367.22,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,492.08,https://www.alstapingtools.com/columbia-tall-boy-loading-pump/,492.08,25.37,-32.52
3.5DF,"Columbia Direct Flusher - 3.5""",146.0,83.75,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,146.0,https://www.alstapingtools.com/columbia-taping-tools-3-5-direct-drywall-corner-flusher-with-wheels/,146.0,42.64,0.0
3DF,"Columbia Direct Flusher - 3""",133.02,78.82,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,130.99,https://www.all-wall.com/Columbia-DirectFlusher-3DF,130.99,39.83,-2.03
3WTDF,"Columbia Direct Flusher - 3"" Widetrack",140.6,81.28,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,115.0,https://www.alstapingtools.com/columbia-taping-tools-3-widetrack-direct-drywall-corner-flusher/,115.0,29.32,-25.6
COBCR,Columbia Outside Corner Roller - Standard,86.52,52.97,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,86.52,https://www.alstapingtools.com/columbia-taping-tools-standard-outside-90-corner-bead-roller/,86.52,38.78,0.0
COBCRW,Columbia Outside Corner Roller - Wide,86.52,55.12,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,86.52,https://www.alstapingtools.com/columbia-taping-tools-superwide-outside-90-corner-bead-roller/,86.52,36.29,0.0
OA90,Columbia UHMW Mud Applicator - Outside 90°,98.0,60.09,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,91.93,https://www.alstapingtools.com/columbia-tools-drywall-outside-corner-bead-mud-applicator/,91.93,34.64,-6.07
PT-CF2.5,"Platinum Angle Head Corner Finisher with Wheels - 2.5""",239.0,155.35,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,145.0,https://www.alstapingtools.com/platinum-drywall-tools-2-5-angle-head-corner-finisher-with-wheels/,145.0,-7.14,-94.0
PT-OCA,Platinum 90° Corner Applicator - Outside,59.0,38.35,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,45.0,https://www.alstapingtools.com/platinum-drywall-tools-outside-90-degree-applicator-mud-head/,45.0,14.78,-14.0
NS02TT,"TapeTech Nail Spotter - 2""",303.66,212.56,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,278.0,https://www.alstapingtools.com/tapetech-2-easyclean-nail-screw-spotter-head/,278.0,23.54,-25.66
PT-ICA,Platinum 90° Corner Applicator - Inside,59.0,38.35,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,40.0,https://www.alstapingtools.com/platinum-drywall-tools-inside-90-degree-applicator-mud-head/,40.0,4.12,-19.0
NS03TT,"TapeTech Nail Spotter - 3""",313.1,219.17,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,289.0,https://www.alstapingtools.com/tapetech-3-easyclean-nail-screw-spotter/,289.0,24.16,-24.1
16TT,TapeTech Applicator Head - Outside Corner,85.43,59.80,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,85.0,https://www.alstapingtools.com/tapetech-90-outside-corner-applicator-head/,85.0,29.65,-0.43
85XLTT,TapeTech Gooseneck - Extra Long,199.0,136.64,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,199.0,https://www.alstapingtools.com/tapetech-extra-long-gooseneck-adapter/,199.0,31.34,0.0
FHTT-CC,TapeTech Support Handle - Closet Crusher Fiberglass,50.0,34.64,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,50.0,https://www.alstapingtools.com/tapetech-closet-crusher-18-support-handle/,50.0,30.72,0.0
15TTE,TapeTech Corner Roller - Inside Corner,189.0,122.85,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,189.0,https://www.alstapingtools.com/tapetech-inside-corner-roller/,189.0,35.0,0.0
TTPPS-EF,TapeTech Pro Performance Easy Finish Set,7295.0,4741.75,REJECTED_MISMATCH,"Competitor is the ""Ultimate"" set bundled with FREE Stilts, a materially different bundle/offer than the base Pro Performance Easy Finish Set",7295.0,https://www.all-wall.com/TapeTech-Pro-Performance-Easy-Finish-Set-TTPPSEF,7295.0,35.0,0.0
