Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Cost of goods,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Meta: schema_brand,Meta: schema_mpn,Meta: _dtb_manufacturer_sku,Meta: _dtb_mpn,Meta: schema_condition,Meta: _dtb_brand_key,Meta: _dtb_brand_label,Meta: _dtb_product_kind,Meta: _dtb_commerce_mode,Meta: _dtb_category_key,Meta: _dtb_display_category_key,Meta: _dtb_is_parts,Meta: _dtb_parent_product_sku,Meta: _dtb_variation_axis,Meta: _dtb_variation_value,Meta: _dtb_variation_label,Meta: _dtb_default_variation_sku,Meta: _dtb_variation_sort,Meta: _dtb_inherit_parent_image,Meta: _dtb_schematic_brand,Meta: _dtb_schematic_group,Meta: _dtb_schematic_position,Meta: _dtb_replacement_part_for,Meta: _dtb_compatible_tool_skus,Meta: _dtb_brand,Meta: _dtb_specs_json,Meta: _includes_0_name,Meta: _includes_0_sku,Meta: _includes_1_name,Meta: _includes_1_sku,Meta: _includes_2_name,Meta: _includes_2_sku,Meta: _includes_3_name,Meta: _includes_3_sku,Meta: _includes_4_name,Meta: _includes_4_sku,Meta: _includes_5_name,Meta: _includes_5_sku,Meta: _includes_6_name,Meta: _includes_6_sku,Meta: _includes_7_name,Meta: _includes_7_sku,Meta: _includes_8_name,Meta: _includes_8_sku,Meta: _includes_9_name,Meta: _includes_9_sku,Meta: _includes_10_name,Meta: _includes_10_sku,Meta: _includes_11_name,Meta: _includes_11_sku,Meta: _includes_12_name,Meta: _includes_12_sku,Meta: _includes_13_name,Meta: _includes_13_sku,Meta: _includes_14_name,Meta: _includes_14_sku,Meta: _includes_15_name,Meta: _includes_15_sku,Meta: _includes_16_name,Meta: _includes_16_sku,Meta: _includes_17_name,Meta: _includes_17_sku,Meta: _includes_18_name,Meta: _includes_18_sku,Meta: _includes_19_name,Meta: _includes_19_sku,Meta: _dtb_schematic_id,Meta: _dtb_schematic_category,Meta: _dtb_schematic_page,Meta: _dtb_schematic_variant,Meta: _dtb_schematic_url,Meta: _dtb_seo_title,Meta: _dtb_seo_description,Meta: _dtb_seo_focus_kw,Meta: _dtb_seo_canonical,Meta: _dtb_seo_noindex,Slug,meta:product_family,meta:series,meta:model,Meta: _dtb_map_price
variation,4SF,,"Columbia Standard Flusher - 4""",1,0,visible,The Columbia 4&quot; Standard Flusher is a drywall finishing tool designed to apply and feather joint compound on 90-degree interior corners in a single pass.,"<p>The Columbia 4"" Standard Flusher is designed for finishing 90-degree interior drywall corners. This tool applies and feathers joint compound in a single pass, providing a consistent finish across the corner.</p><h3>Features</h3><ul><li><strong>4"" Finishing Profile:</strong> Designed for wide feathering of joint compound.</li><li><strong>Construction:</strong> Features a machined aluminum body and stainless steel blade for consistent performance.</li><li><strong>Compatibility:</strong> Integrates with standard Columbia flusher handles.</li></ul>",,,taxable,,1,,,0,0,,,,,0,,,140.60,68.25,,,,"https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_4sf_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_4sf_02.webp",,,COL-STANDARD-FLUSHER,,,,,,5,Columbia Tools,Size,"4""",,0,,Columbia Tools,4SF,,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,corner-tools,,0,COL-STANDARD-FLUSHER,Size,"4""","4""",,5,0,Columbia Taping Tools,,,,,Columbia Tools,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""4SF""},{""label"":""Model"",""value"":""4SF""},{""label"":""Size"",""value"":""4\""""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,columbia-standard-corner-flusher,Corner Flushers,,,/schematics?brand=columbia-taping-tools&amp;category=Corner+Flushers&amp;schematic=columbia-standard-corner-flusher,"Columbia 4"" Standard Flusher | Drywall Corner Tool","The Columbia 4"" Standard Flusher applies and feathers joint compound on 90-degree interior drywall corners for a smooth, consistent finish.",Columbia 4 inch corner flusher,/product/columbia-standard-flusher-4-inch/,,columbia-standard-flusher-4-inch,Columbia Standard Flushers,Standard Flusher Series,4SF,140.60
variable,COL-THROTTLE-CORNER-FLUSHER-BOX,,Columbia Throttle Corner Flusher Box,1,0,visible,"The Columbia Throttle Corner Flusher Box is a drywall finishing tool designed for applying joint compound to inside corners, available in 7-inch and 8-inch sizes.","<p>The Columbia Throttle Corner Flusher Box is a drywall finishing tool designed for the application of joint compound to inside corners. This tool is part of the Columbia Throttle series, engineered to assist in the finishing process for 90-degree corner joints. Available in two sizes, this tool is designed to integrate into standard drywall finishing workflows.</p><h3>Available Sizes</h3><ul><li>7"" Throttle Corner Flusher Box</li><li>8"" Throttle Corner Flusher Box</li></ul>",,,taxable,,1,,,0,0,,,,,0,,,,,Drywall Finishing Tools > Automatic Taping Tools > Corner Boxes,"Columbia, Drywall Finishing Tools",,"https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_7cfb_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_8cfb_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_cfb_back_01.webp",,,,,,,,,13,Columbia Tools,Size,"7"", 8""",1,0,"7""",Columbia Tools,,,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,corner-tools,corner_tools,0,,,,,7CFB,,0,Columbia Taping Tools,,,,,Columbia Tools,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""COL-THROTTLE-CORNER-FLUSHER-BOX""},{""label"":""Size"",""value"":""7\"", 8\""""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,columbia-throttle-box,Corner Boxes,,,/schematics?brand=columbia-taping-tools&amp;category=Corner+Boxes&amp;schematic=columbia-throttle-box,"Columbia Throttle Corner Flusher Box | 7"" & 8"" Sizes",Finish inside drywall corners with the Columbia Throttle Corner Flusher Box. Available in 7-inch and 8-inch models for consistent compound application.,Columbia Throttle Corner Flusher Box,/product/columbia-throttle-corner-flusher-box/,,columbia-throttle-corner-flusher-box,Corner Tools,Throttle Series,Throttle Corner Flusher Box,
variation,7CFB,,"Columbia Throttle Corner Flusher Box - 7""",1,0,visible,The Columbia 7-inch Throttle Corner Flusher Box is a drywall finishing tool designed for applying joint compound to 90-degree inside corners.,"<p>The Columbia 7-inch Throttle Corner Flusher Box is a drywall finishing tool designed for the application of joint compound to 90-degree inside corners. Part of the Columbia Throttle series, this tool is engineered to integrate into standard drywall finishing workflows.</p><h3>Specifications</h3><ul><li>Brand: Columbia Tools</li><li>Series: Throttle</li><li>Size: 7""</li><li>Weight: 3.2875 lbs</li><li>Dimensions: 10"" L x 10"" W x 4"" H</li><li>Part Number: 7CFB</li></ul>",,,taxable,,1,,,0,0,3.2875,10,10,4,0,,,313.64,210.29,,,,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_7cfb_01.webp,,,COL-THROTTLE-CORNER-FLUSHER-BOX,,,,,,1,Columbia Tools,Size,"7""",,0,,Columbia Tools,7CFB,,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,corner-tools,,0,COL-THROTTLE-CORNER-FLUSHER-BOX,Size,"7""","7""",,1,0,Columbia Taping Tools,,,,,Columbia Tools,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""7CFB""},{""label"":""Model"",""value"":""7CFB""},{""label"":""Size"",""value"":""7\""""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,columbia-throttle-box,Corner Boxes,,7,/schematics?brand=columbia-taping-tools&amp;category=Corner+Boxes&amp;schematic=columbia-throttle-box&amp;variant=7,"Columbia 7"" Throttle Corner Flusher Box | 7CFB",The 7-inch Columbia Throttle Corner Flusher Box is a drywall finishing tool for 90-degree inside corners. Part of the Columbia Throttle series.,"Columbia 7"" Throttle Corner Flusher Box",/product/columbia-throttle-corner-flusher-box-7-inch/,,columbia-throttle-corner-flusher-box-7-7cfb,Corner Flusher Boxes,Throttle Series,7CFB,313.64
variation,8CFB,,"Columbia Throttle Corner Flusher Box - 8""",1,0,visible,"The Columbia Throttle Corner Flusher Box in 8-inch size is designed for applying joint compound to inside corners, providing a consistent finish for 90-degree joints.","<p>The Columbia Throttle Corner Flusher Box in the 8-inch size is designed for applying joint compound to inside corners. As part of the Columbia Throttle series, this tool is engineered to integrate into standard drywall finishing workflows, providing a consistent application of compound to 90-degree corner joints.</p><h3>Features</h3><ul><li><strong>Size:</strong> 8-inch width for corner finishing applications.</li><li><strong>Series:</strong> Part of the Columbia Throttle series of drywall finishing tools.</li><li><strong>Application:</strong> Designed for use on inside corners.</li></ul>",,,taxable,,1,,,0,0,3.6385,10,5,10,0,,,324.82,227.37,,,,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_8cfb_01.webp,,,COL-THROTTLE-CORNER-FLUSHER-BOX,,,,,,2,Columbia Tools,Size,"8""",,0,,Columbia Tools,8CFB,,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,corner-tools,,0,COL-THROTTLE-CORNER-FLUSHER-BOX,Size,"8""","8""",,2,0,Columbia Taping Tools,,,,,Columbia Tools,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""8CFB""},{""label"":""Model"",""value"":""8CFB""},{""label"":""Size"",""value"":""8\""""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,columbia-throttle-box,Corner Boxes,,8,/schematics?brand=columbia-taping-tools&amp;category=Corner+Boxes&amp;schematic=columbia-throttle-box&amp;variant=8,"Columbia Throttle Corner Flusher Box - 8"" | 8CFB",Finish inside corners with the 8-inch Columbia Throttle Corner Flusher Box. Designed for consistent joint compound application on 90-degree joints.,Columbia Throttle Corner Flusher Box 8 inch,/product/columbia-throttle-corner-flusher-box-8-inch-8cfb/,,columbia-throttle-corner-flusher-box-8-inch-8cfb,Columbia Corner Boxes,Throttle Series,8CFB,324.45
variable,COL-TOOL-CASE,,Columbia Tool Case,1,0,visible,"The Columbia Tool Case series offers rugged, foam-lined storage for professional drywall finishing equipment, available in compact Gun Case or high-capacity Road Case configurations.","<p>The Columbia Tool Case series provides durable, foam-lined storage solutions engineered to protect drywall finishing equipment during transport and job site storage. These cases help maintain tool calibration and prevent damage by securing equipment in a dedicated, organized environment.</p><h3>Features</h3><ul><li><strong>Foam-Lined Interior:</strong> Cushions tools to prevent shifting and contact during transit.</li><li><strong>Impact-Resistant Exterior:</strong> Designed to withstand the demands of active construction environments.</li><li><strong>Secure Latches:</strong> Heavy-duty closures keep the case sealed during handling.</li></ul><h3>Available Options</h3><ul><li><strong>Gun Case:</strong> A compact storage solution tailored for automatic tapers and essential core tools.</li><li><strong>Road Case:</strong> A high-capacity configuration designed to accommodate flat boxes, handles, and comprehensive finishing sets.</li></ul>",,,taxable,,1,,,0,0,,,,,0,,,,,Drywall Finishing Tools > Automatic Taping Tools > Automatic Taping Tool Cases,"Columbia, Drywall Finishing Tools, Tool Sets & Kits",,"https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_tcs_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_rc_01.webp",,,,,,,,,28,Columbia Tools,Case Type,"Gun Case, Road Case",1,0,Gun Case,Columbia Tools,,,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,toolsets,toolsets,0,,,,,TCS,,0,,,,,,Columbia Tools,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""COL-TOOL-CASE""},{""label"":""Case Type"",""value"":""Gun Case, Road Case""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia Tool Cases | Drywall Finishing Tool Storage,"Protect your drywall finishing tools with Columbia Tool Cases. Available in Gun Case and Road Case configurations for secure, organized equipment transport.",Columbia Tool Case,/product/columbia-tool-case-series/,,columbia-tool-case-series,Columbia Storage,Columbia Tool Protection,COL-TOOL-CASE,
variation,TCS,,Columbia Tool Case - Gun Case,1,0,visible,"The Columbia Tool Case (Gun Case) is a compact, foam-lined storage solution designed to protect automatic tapers and core drywall finishing tools during transport and job site storage.","<p>The Columbia Tool Case (Gun Case) is a specialized storage solution designed for the secure transport and protection of automatic tapers and essential drywall finishing tools. Its compact, gun-style profile provides a dedicated environment to keep equipment organized and shielded from job site impacts.</p><h3>Features</h3><ul><li><strong>Foam-Lined Interior:</strong> Custom-fitted foam cushions tools to prevent shifting and contact during transit.</li><li><strong>Impact-Resistant Shell:</strong> Durable outer casing engineered to withstand daily job site demands.</li><li><strong>Secure Latches:</strong> Heavy-duty closures ensure the case remains sealed during handling.</li><li><strong>Optimized Profile:</strong> Designed specifically for automatic tapers and core finishing tools.</li></ul>",,,taxable,,1,,,0,0,,,,,0,,,201.88,138.38,,,,"https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_tcs_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_tcs_02.webp",,,COL-TOOL-CASE,,,,,,1,Columbia Tools,Case Type,Gun Case,,0,,Columbia Tools,TCS,,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,toolsets,,0,COL-TOOL-CASE,Case Type,Gun Case,Gun Case,,1,0,,,,,,Columbia Tools,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""TCS""},{""label"":""Model"",""value"":""TCS""},{""label"":""Case Type"",""value"":""Gun Case""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia Tool Case - Gun Case | Drywall Tool Storage,Protect your automatic tapers with the Columbia Tool Case Gun Case. Features a foam-lined interior and impact-resistant shell for secure job site storage.,Columbia Tool Case Gun Case,/product/columbia-tool-case-gun-case-tcs/,,columbia-tool-case-gun-case-tcs,Columbia Tool Cases,Storage Solutions,TCS,201.88
variation,RC,,Columbia Tool Case - Road Case,1,0,visible,"The Columbia Tools Road Case provides high-capacity, durable storage for comprehensive drywall finishing tool sets, ensuring equipment remains organized and protected during transport.","<p>The Columbia Tools Road Case is a high-capacity storage solution designed for the transport and protection of comprehensive drywall finishing tool sets. Engineered for the demands of professional job sites, this case provides a secure, organized environment for flat boxes, handles, and associated finishing equipment.</p><h3>Features</h3><ul><li>High-capacity interior designed to accommodate full drywall finishing kits.</li><li>Rugged exterior construction built for job site durability.</li><li>Secure latching system to keep tools contained during transit.</li><li>Foam-lined interior helps prevent tool shifting and damage.</li></ul>",,,taxable,,1,,,0,0,,,,,0,,,1020.16,658.08,,,,"https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_rc_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_rc_02.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_rc_03.webp",,,COL-TOOL-CASE,,,,,,2,Columbia Tools,Case Type,Road Case,,0,,Columbia Tools,RC,,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,toolsets,,0,COL-TOOL-CASE,Case Type,Road Case,Road Case,,2,0,,,,,,Columbia Tools,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""RC""},{""label"":""Model"",""value"":""RC""},{""label"":""Case Type"",""value"":""Road Case""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia Tool Case - Road Case | Drywall Tool Storage,"Protect your drywall finishing tools with the Columbia Tools Road Case. High-capacity, durable storage designed for flat boxes, handles, and tool sets.",Columbia Tools Road Case,/product/columbia-tool-case-road-case/,,columbia-tool-case-road-case,Columbia Tool Case,Tool Protection,RC,1020.16
variable,COL-UHMW-MUD-APPLICATOR,,Columbia UHMW Mud Applicator,1,0,visible,"The Columbia UHMW Mud Applicator features a low-friction polyethylene construction designed for smooth, consistent joint compound application on corner profiles. Compatible with standard pump and gooseneck systems, these tools are available in multiple configurations for various corner types.","<p>The Columbia UHMW Mud Applicator is designed for efficient joint compound application on various corner profiles. Constructed from Ultra-High Molecular Weight (UHMW) polyethylene, these applicators provide a low-friction surface that helps minimize compound buildup and ensures consistent flow during application. These tools are compatible with standard drywall pump and gooseneck systems.</p><h3>Available Configurations</h3><ul><li><strong>L-Trim:</strong> Designed for L-shaped edge trims.</li><li><strong>Inside 90°:</strong> Optimized for internal corners.</li><li><strong>Outside 90°:</strong> Tailored for standard external corner beads.</li><li><strong>Outside 90° 325:</strong> Specialized configuration for wide-flange outside corners.</li></ul>",,,taxable,,1,,,0,0,,,,,0,,,,,Drywall Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,"Columbia, Drywall Finishing Tools",,"https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_fmh_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ia90_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_oa90_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_oa90a_01.webp",,,,,,,,,20,Columbia Tools,Applicator Type,"L-Trim, Inside 90°, Outside 90°, Outside 90° 325",1,0,L-Trim,Columbia Tools,,,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,corner-tools,corner_tools,0,,,,,FMH,,0,,,,,,Columbia Tools,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""COL-UHMW-MUD-APPLICATOR""},{""label"":""Applicator Type"",""value"":""L-Trim, Inside 90°, Outside 90°, Outside 90° 325""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia UHMW Mud Applicator | Corner Finishing Tools,"Apply joint compound efficiently with the Columbia UHMW Mud Applicator. Low-friction polyethylene design for smooth, consistent corner finishing.",Columbia UHMW Mud Applicator,/product/columbia-uhmw-mud-applicator/,,columbia-uhmw-mud-applicator,Columbia Corner Tools,UHMW Series,COL-UHMW-MUD-APPLICATOR,
variation,FMH,,Columbia UHMW Mud Applicator - L-Trim,1,0,visible,"The Columbia UHMW Mud Applicator for L-Trim features a low-friction polyethylene construction designed for smooth, consistent compound application on edge trims. It is compatible with standard drywall pump and gooseneck systems.","<p>The Columbia UHMW Mud Applicator in L-Trim configuration is engineered for consistent joint compound application on edge trims. Constructed from Ultra-High Molecular Weight (UHMW) polyethylene, this tool provides a low-friction surface that minimizes drag and compound buildup during use.</p><h3>Features</h3><ul><li><strong>Material:</strong> Durable UHMW polyethylene construction for smooth compound release.</li><li><strong>Application:</strong> Specifically contoured for L-Trim profiles.</li><li><strong>Compatibility:</strong> Designed for use with standard drywall pump and gooseneck systems.</li></ul>",,,taxable,,1,,,0,0,0.3085,3,3,2,0,,,98.00,60.09,,,,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_fmh_01.webp,,,COL-UHMW-MUD-APPLICATOR,,,,,,1,Columbia Tools,Applicator Type,L-Trim,,0,,Columbia Tools,FMH,,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,corner-tools,,0,COL-UHMW-MUD-APPLICATOR,Applicator Type,L-Trim,L-Trim,,1,0,,,,,,Columbia Tools,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""FMH""},{""label"":""Model"",""value"":""FMH""},{""label"":""Applicator Type"",""value"":""L-Trim""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia UHMW Mud Applicator - L-Trim (FMH),Columbia UHMW Mud Applicator for L-Trim. Low-friction polyethylene construction for consistent compound application on edge trims. Compatible with pumps.,Columbia L-Trim Mud Applicator,/product/columbia-uhmw-mud-applicator-l-trim-fmh/,,columbia-uhmw-mud-applicator-l-trim-fmh,Columbia UHMW Mud Applicators,UHMW Series,FMH,91.93
variation,IA90,,Columbia UHMW Mud Applicator - Inside 90°,1,0,visible,The Columbia UHMW Mud Applicator for Inside 90° corners features a low-friction polyethylene construction designed for consistent joint compound application. It is compatible with standard drywall pump and gooseneck systems.,<p>The Columbia UHMW Mud Applicator for Inside 90° corners is constructed from Ultra-High Molecular Weight (UHMW) polyethylene. This material provides a low-friction surface designed to minimize compound buildup and ensure consistent flow during the application process.</p><h3>Features</h3><ul><li>Designed for inside 90° corner applications.</li><li>UHMW polyethylene construction reduces surface friction.</li><li>Resists compound buildup.</li><li>Compatible with standard drywall pump and gooseneck systems.</li></ul>,,,taxable,,1,,,0,0,,,,,0,,,98.00,60.09,,,,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ia90_01.webp,,,COL-UHMW-MUD-APPLICATOR,,,,,,2,Columbia Tools,Applicator Type,Inside 90°,,0,,Columbia Tools,IA90,,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,corner-tools,,0,COL-UHMW-MUD-APPLICATOR,Applicator Type,Inside 90°,Inside 90°,,2,0,,,,,,Columbia Tools,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""IA90""},{""label"":""Model"",""value"":""IA90""},{""label"":""Applicator Type"",""value"":""Inside 90°""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia UHMW Mud Applicator - Inside 90° | IA90,"Apply joint compound to inside 90° corners with the Columbia UHMW Mud Applicator. Features low-friction polyethylene for consistent, smooth application.",Columbia IA90,/product/columbia-uhmw-mud-applicator-inside-90-ia90/,,columbia-uhmw-mud-applicator-inside-90-ia90,Columbia UHMW Mud Applicators,UHMW Series,IA90,91.93
variation,OA90,,Columbia UHMW Mud Applicator - Outside 90°,1,0,visible,"The Columbia OA90 UHMW Mud Applicator is designed for external 90° corner beads, utilizing a low-friction polyethylene surface to ensure smooth, consistent compound application. It integrates with standard pump and gooseneck systems for efficient drywall finishing.","<p>The Columbia UHMW Mud Applicator in the Outside 90° configuration is designed for applying joint compound to external corner beads. Constructed from Ultra-High Molecular Weight (UHMW) polyethylene, this applicator provides a low-friction surface that minimizes compound buildup and promotes consistent flow during the finishing process.</p><h3>Features</h3><ul><li><strong>Outside 90° Profile:</strong> Specifically shaped for standard external corner beads.</li><li><strong>UHMW Polyethylene Construction:</strong> Low-friction material reduces drag and prevents compound accumulation.</li><li><strong>System Compatibility:</strong> Designed to attach to standard drywall pump and gooseneck systems for efficient production.</li></ul>",,,taxable,,1,,,0,0,0.466,3,3.5,2.5,0,,,98.00,60.09,,,,"https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_oa90_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_oa90a_01.webp",,,COL-UHMW-MUD-APPLICATOR,,,,,,3,Columbia Tools,Applicator Type,Outside 90°,,0,,Columbia Tools,OA90,,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,corner-tools,,0,COL-UHMW-MUD-APPLICATOR,Applicator Type,Outside 90°,Outside 90°,,3,0,,,,,,Columbia Tools,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""OA90""},{""label"":""Model"",""value"":""OA90""},{""label"":""Applicator Type"",""value"":""Outside 90°""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia UHMW Mud Applicator - Outside 90° (OA90),"Apply joint compound to outside 90° corners with the Columbia OA90 UHMW applicator. Features a low-friction surface for consistent, smooth finishing.",Columbia OA90,/product/columbia-uhmw-mud-applicator-outside-90-oa90/,,columbia-uhmw-mud-applicator-outside-90-oa90,Columbia UHMW Mud Applicators,UHMW Applicator Series,OA90,91.93
variation,OA90-325,,Columbia UHMW Mud Applicator - Outside 90° 325,1,0,visible,The Columbia UHMW Mud Applicator (OA90-325) is designed for applying joint compound to wide-flange outside 90-degree corner beads. Its UHMW polyethylene construction provides a low-friction surface for consistent compound flow and is compatible with standard pump and gooseneck systems.,"<p>The Columbia UHMW Mud Applicator, model OA90-325, is engineered for applying joint compound to wide-flange outside 90-degree corner beads. Constructed from Ultra-High Molecular Weight (UHMW) polyethylene, this applicator provides a low-friction surface designed to minimize compound buildup and drag during the finishing process.</p><h3>Features</h3><ul><li><strong>Profile:</strong> Specifically designed for 325 wide-flange outside 90-degree corner beads.</li><li><strong>Material:</strong> UHMW polyethylene construction offers a slick, non-stick surface for consistent compound release.</li><li><strong>Compatibility:</strong> Designed for use with standard drywall pump and gooseneck systems.</li></ul>",,,taxable,,1,,,0,0,,,,,0,,,91.93,58.01,,,,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_fmh_01.webp,,,COL-UHMW-MUD-APPLICATOR,,,,,,4,Columbia Tools,Applicator Type,Outside 90° 325,,0,,Columbia Tools,OA90-325,,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,corner-tools,,0,COL-UHMW-MUD-APPLICATOR,Applicator Type,Outside 90° 325,Outside 90° 325,,4,0,,,,,,Columbia Tools,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""OA90-325""},{""label"":""Model"",""value"":""OA90-325""},{""label"":""Applicator Type"",""value"":""Outside 90° 325""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia UHMW Mud Applicator - Outside 90° 325 (OA90-325),Use the Columbia OA90-325 UHMW Mud Applicator for wide-flange outside 90-degree corner beads. Compatible with standard pump and gooseneck systems.,Columbia OA90-325,/product/columbia-uhmw-mud-applicator-outside-90-325/,,columbia-uhmw-mud-applicator-outside-90-325,Columbia UHMW Mud Applicators,UHMW Series,OA90-325,91.93
