disposition,issue_code,issue_label,brand,part_ref,source_sku,source_display_id,part_name,relationship_count,hotspot_occurrences,schematics,candidate_evidence,required_action
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,ffb44,FFB44,FFB44,"Flat Box Door Pivot Pin (FFB44)",3,3,columbia-flat-box|columbia-fat-boy-box|columbia-automatic-flat-box,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,ffb12,FFB12,FFB12,"Adjuster Dial Assembly 12 in (FFB12)",3,3,columbia-flat-box|columbia-fat-boy-box|columbia-automatic-flat-box,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,ffb2a,FFB2A,FFB2A,"Bushing (FFB2A)",3,3,columbia-flat-box|columbia-fat-boy-box|columbia-automatic-flat-box,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,ffb19,FFB19,FFB19,"Brass Adjuster Pin (FFB19)",3,3,columbia-flat-box|columbia-fat-boy-box|columbia-automatic-flat-box,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,cf3a,CF3A,"CF 3A","Screw for Corner Flusher Wheel (CF3A)",3,3,columbia-direct-corner-flusher|columbia-combo-flusher|columbia-standard-corner-flusher,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,ah2-3l,AH-23,"AH 2-3"" L","Left Frame Sub-Assembly 3 in (AHA2-3L)",3,3,columbia-angle-head,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,mp33a,MP33A,"MP 33A","Mud Pump Spring Assembly (MP33A)",3,3,columbia-box-filler|columbia-mud-pump|columbia-tall-boy-mud-pump,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,ct110,CT110,"CT 110","Piston Cup Relief Washer (CT110)",3,3,columbia-cam-lock-tube|columbia-compound-tube|columbia-predator-taper,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,fa284,FA284,"FA 284","3/16 x 3/8 SS Pop Rivet (FA284)",3,3,columbia-cam-lock-tube|columbia-compound-tube|columbia-one,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,cfb5a,CFB5A,"CFB 5A","Corner Box Cone Ball End (Large)",3,3,columbia-cam-lock-tube|columbia-compound-tube|columbia-throttle-box,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,cfb5c,CFB5C,"CFB 5C","Corner Box Cone Ball End (Standard)",3,3,columbia-cam-lock-tube|columbia-compound-tube|columbia-throttle-box,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",tape-tech,209030,209030,209030,"Wing Nut: 10-24",3,3,tapetech-quickbox-qsx|tapetech-power-assist-maxxbox|tapetech-76tt,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",level5,14,7116,14,"1/16 x 1/2in Cotter Pin Fastenal 74268",3,3,level5-corner-roller-4-707|level5-9333-cutter-chain-assembly|level5-7097-drive-dog-assembly,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,fa377,FA377,FA377,"6-32 x 1/4 Flat Head Screw (FA377)",2,3,columbia-standard-corner-flusher|columbia-inside-corner-applicator,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",tape-tech,489023,489023,489023,"Flat Washer, #6 S.S.",3,2,tapetech-maxxbox-ehc|tapetech-quickbox-qsx|tapetech-power-assist-maxxbox,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",tape-tech,499023,499023,499023,"Part (499023)",2,3,tapetech-xhtt|tapetech-quickbox-qsx,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,fg4-45,FG4-45,"FG 4-45","Flat Box 45 Degree Corner Guide 4 in (FG4-45)",2,2,columbia-long-extendable-handle|columbia-one,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,fa362,FA362,"FA 362","10-24 x 3/4 Flat Head Screw (FA362)",2,2,columbia-matrix|columbia-predator-taper,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,ffb42,FFB42,FFB42,"Flat Box Door Pivot (FFB 42)",2,2,columbia-flat-box|columbia-fat-boy-box,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,fa327,FA327,FA327,"8-32 x 1/4 Pan Head Screw (FA327)",2,2,columbia-flat-box|columbia-automatic-flat-box,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,ffb35,FFB35,FFB35,"Flat Box Spring Assembly (FFB35)",2,2,columbia-flat-box|columbia-automatic-flat-box,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,ffb18,FFB18,FFB18,"Rear Plate 8"" (FFB1-8)",2,2,columbia-flat-box|columbia-automatic-flat-box,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,ffb2-10,FFB2-10,FFB2-10',"Roll Face 10"" (FFB2-10)",2,2,columbia-flat-box|columbia-automatic-flat-box,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,ffb10-10,FFB10-10,FFB10-10',"Flat Box Side Cover 10 in (FFB10-10)",2,2,columbia-flat-box|columbia-automatic-flat-box,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,hfbb14-10,HFBB14-10,"HFBB 14-10","Hinged Door Gasket 10 in Fat Boy (HFBB14-10)",2,2,columbia-fat-boy-box|columbia-automatic-flat-box,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,cf1b,CF1B,"CF 1B","Direct Plate - Flusher (CF1B)",2,2,columbia-direct-corner-flusher|columbia-standard-corner-flusher,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,cf1c,CF-1C,"CF 1C","Corner Flusher Direct Plate C (CF1C)",2,2,columbia-direct-corner-flusher|columbia-combo-flusher,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,ab44,AB44,AB44,"Automatic Box Clutch Spring (AB44)",2,2,columbia-automatic-flat-box|columbia-throttle-box,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,ab45,AB45,AB45,"Automatic Box Throttle Set Screw (AB45)",2,2,columbia-automatic-flat-box|columbia-throttle-box,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,ab49,AB49,AB49,"Automatic Box Handle Mount (AB49)",2,2,columbia-automatic-flat-box|columbia-throttle-box,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,mp9c,MP9C,"MP 9C","Connecting Link (MP9C)",2,2,columbia-box-filler|columbia-predator-taper,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,fa323,FA323,"FA 323","1/4-20 X 1"" Hex Bolt (FA323)",2,2,columbia-cam-lock-tube|columbia-compound-tube,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,cmt8,CMT8,"CMT 8","Mastic Tube Washer (CMT8)",2,2,columbia-cam-lock-tube|columbia-compound-tube,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,clt15,CLT15,"CLT 15","Cam Lock Tube Return Spring (CLT15)",2,2,columbia-cam-lock-tube|columbia-corner-cobra,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,cmt4,CMT4,"CMT 4","Plunger Housing (CMT4)",2,2,columbia-cam-lock-tube|columbia-compound-tube,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,cmt1-24,CMT-1-24,"CMT 1-24","Barrel Main Body 24 in (CMT1-24)",2,2,columbia-cam-lock-tube|columbia-compound-tube,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,cmt5,CMT5,"CMT 5","Plastic Handle Collar (CMT5)",2,2,columbia-cam-lock-tube|columbia-compound-tube,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,cmt6,CMT6,"CMT 6","Cone insert(Top)",2,2,columbia-cam-lock-tube|columbia-compound-tube,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,cf3b,CF3B,"CF 3B","Wheel for Corner Flusher (CF-3B)",2,2,columbia-combo-flusher|columbia-standard-corner-flusher,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,ct115a,CT115A,CT115A,"Taper Gasket New Style End Ring (CT115A)",2,2,columbia-compound-tube|columbia-predator-taper,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,mp7a,MP7A,MP7A,"Mud Pump Foot Valve A (MP7A)",2,2,columbia-mud-pump|columbia-tall-boy-mud-pump,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,mp7d,MP7D,MP7D,"Special Nut for Pump Handle (MP7D)",2,2,columbia-mud-pump|columbia-tall-boy-mud-pump,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,mp7c,MP7C,MP7C,"Mud Pump O-Ring Retainer C (replaces MP7D)",2,2,columbia-mud-pump|columbia-tall-boy-mud-pump,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,fa287,FA287,FA287,"1/4 x 5/8 Split Pin (FA287)",2,2,columbia-mud-pump|columbia-tall-boy-mud-pump,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,ffh14,FFH14,FFH14,"Handle Grip (FFH14)",2,2,columbia-mud-pump|columbia-tall-boy-mud-pump,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,mp7e,MP7E,MP7E,"Mud Pump Foot Valve E (MP7E)",2,2,columbia-mud-pump|columbia-tall-boy-mud-pump,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,mp8a,MP8A,MP8A,"Mud Pump Valve Spring A (MP8A)",2,2,columbia-mud-pump|columbia-tall-boy-mud-pump,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,hp48,HP48,HP48,"Handle Pin (HP48)",2,2,columbia-mud-pump|columbia-tall-boy-mud-pump,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,hp48a,HP48A,HP48A,"Hot Mud Pump HP48 Body A (HP48A)",2,2,columbia-mud-pump|columbia-tall-boy-mud-pump,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,fa308,FA308,FA308,"33/64 X 7/8in Flat Washer (FA-308)",2,2,columbia-mud-pump|columbia-tall-boy-mud-pump,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",tape-tech,059143,059143,059143,"Cotter Pin 1/16 X 1/2 SST.",2,2,tapetech-80xxtt|tapetech-17tt,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",tape-tech,179009,179009,179009,"5L10-Fk Type 6 Nyliner",3,1,tapetech-maxxbox-ehc|tapetech-power-assist-maxxbox|tapetech-17tt,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
